date,price
2/14/2022,5662.446756
2/15/2022,5970.405314
2/16/2022,5821.520331
2/17/2022,5416.927203
2/18/2022,5310.838952
2/19/2022,4982.955244
2/20/2022,4756.149629
2/21/2022,4580.965468
2/22/2022,4693.4419
2/23/2022,4459.150811
2/24/2022,4100.432536
2/25/2022,4060.014125
2/26/2022,3989.335321
2/27/2022,3803.035585
2/28/2022,3736.100202
3/1/2022,3692.375383
3/2/2022,3670.504537
3/3/2022,3526.536585
3/4/2022,3249.87312
3/5/2022,3160.874035
3/6/2022,2925.891689
3/7/2022,2836.750939
3/8/2022,2891.394517
3/9/2022,3069.852729
3/10/2022,2933.694014
3/11/2022,2836.851405
3/12/2022,2871.554532
3/13/2022,2778.718386
3/14/2022,2801.663274
3/15/2022,2815.969492
3/16/2022,2824.014126
3/17/2022,2763.849398
3/18/2022,2866.498466
3/19/2022,2926.005248
3/20/2022,2910.803696
3/21/2022,2997.155317
3/22/2022,3082.248245
3/23/2022,3239.218365
3/24/2022,3811.242428
3/25/2022,3971.962772
3/26/2022,4111.97418
3/27/2022,4397.118426
3/28/2022,3892.90183
3/29/2022,3907.413649
3/30/2022,3691.803247
3/31/2022,3660.683036
4/1/2022,3862.280319
4/2/2022,3938.417834
4/3/2022,3952.985705
4/4/2022,3716.312502
4/5/2022,3638.512961
4/6/2022,3379.878392
4/7/2022,3445.049232
4/8/2022,3286.002328
4/9/2022,3955.113264
4/10/2022,3838.506904
4/11/2022,3456.157625
4/12/2022,3494.159955
4/13/2022,3470.078872
4/14/2022,3311.724703
4/15/2022,3188.018167
4/16/2022,3202.753886
4/17/2022,3087.371029
4/18/2022,3008.394696
4/19/2022,3005.020731
4/20/2022,3350.136065
4/21/2022,3420.383929
4/22/2022,3475.35003
4/23/2022,3387.594776
4/24/2022,3346.29958
4/25/2022,3577.229604
4/26/2022,3358.243074
4/27/2022,3399.829169
4/28/2022,3316.025759
4/29/2022,3029.836949
4/30/2022,2628.316805
5/1/2022,2694.921797
5/2/2022,2776.780478
5/3/2022,2657.316525
5/4/2022,2669.531669
5/5/2022,2353.641793
5/6/2022,2294.843091
5/7/2022,2233.291293
5/8/2022,2155.392453
5/9/2022,2053.681755
5/10/2022,2098.58683
5/11/2022,1851.251977
5/12/2022,1999.979176
5/13/2022,2033.346052
5/14/2022,2231.380884
5/15/2022,2366.359191
5/16/2022,2322.826303
5/17/2022,2486.596449
5/18/2022,2409.875847
5/19/2022,2504.187224
5/20/2022,2455.66677
5/21/2022,2517.018451
5/22/2022,2735.967628
5/23/2022,2709.720093
5/24/2022,2880.983097
5/25/2022,3137.072795
5/26/2022,2923.267008
5/27/2022,2622.161709
5/28/2022,2682.244373
5/29/2022,2918.837123
5/30/2022,3146.561051
5/31/2022,2965.498397
6/1/2022,2922.738484
6/2/2022,2984.276552
6/3/2022,2918.146145
6/4/2022,2974.934795
6/5/2022,2986.312239
6/6/2022,2918.04057
6/7/2022,2834.855156
6/8/2022,2747.790027
6/9/2022,2767.236443
6/10/2022,2600.49959
6/11/2022,2383.137295
6/12/2022,2284.090256
6/13/2022,2077.090124
6/14/2022,2239.295989
6/15/2022,2161.110624
6/16/2022,2112.322169
6/17/2022,2188.643609
6/18/2022,2148.495833
6/19/2022,2256.193345
6/20/2022,2298.557894
6/21/2022,2318.387517
6/22/2022,2238.354716
6/23/2022,2334.024556
6/24/2022,2440.592636
6/25/2022,2481.42377
6/26/2022,2486.802112
6/27/2022,2454.520282
6/28/2022,2410.647334
6/29/2022,2353.455551
6/30/2022,2309.895706
7/1/2022,2374.046689
7/2/2022,2404.071981
7/3/2022,2456.22115
7/4/2022,2535.961467
7/5/2022,2534.112187
7/6/2022,2584.576373
7/7/2022,2621.121781
7/8/2022,2640.485229
7/9/2022,2654.034234
7/10/2022,2633.429753
7/11/2022,2611.278369
7/12/2022,2653.55755
7/13/2022,2793.947905
7/14/2022,2815.296588
7/15/2022,2882.873656
7/16/2022,3138.684449
7/17/2022,3077.257346
7/18/2022,3305.602812
7/19/2022,3212.46422
7/20/2022,3152.807266
7/21/2022,3191.169824
7/22/2022,3078.630914
7/23/2022,3156.654678
7/24/2022,3243.816242
7/25/2022,3042.457126
7/26/2022,3038.083029
7/27/2022,3208.707912
7/28/2022,3092.152779
7/29/2022,3026.307558
7/30/2022,2969.401028
7/31/2022,2995.095648
8/1/2022,2951.007473
8/2/2022,2886.760763
8/3/2022,2816.617333
8/4/2022,2753.544811
8/5/2022,2767.350131
8/6/2022,2775.525408
8/7/2022,2785.434309
8/8/2022,2814.163772
8/9/2022,2738.040648
8/10/2022,2834.686923
8/11/2022,2737.072835
8/12/2022,2757.163655
8/13/2022,2594.281669
8/14/2022,2622.488966
8/15/2022,2658.417165
8/16/2022,2680.311412
8/17/2022,2667.905919
8/18/2022,2785.679117
8/19/2022,2655.732014
8/20/2022,2661.47736
8/21/2022,2736.303232
8/22/2022,2755.887091
8/23/2022,2858.357671
8/24/2022,2868.961986
8/25/2022,2939.907821
8/26/2022,2725.227342
8/27/2022,2672.111404
8/28/2022,2599.720324
8/29/2022,2736.371554
8/30/2022,2680.317555
8/31/2022,2595.740918
9/1/2022,2583.313342
9/2/2022,2553.793517
9/3/2022,2537.636436
9/4/2022,2561.714572
9/5/2022,2586.240514
9/6/2022,2519.974896
9/7/2022,2576.465688
9/8/2022,2583.25094
9/9/2022,2613.978588
9/10/2022,2662.392451
9/11/2022,2622.151641
9/12/2022,2605.059666
9/13/2022,2455.785418
9/14/2022,2486.875743
9/15/2022,2210.394272
9/16/2022,2185.74348
9/17/2022,2288.881183
9/18/2022,2186.060048
9/19/2022,2341.995893
9/20/2022,2351.783183
9/21/2022,2264.23492
9/22/2022,2469.970743
9/23/2022,2491.327354
9/24/2022,2517.089106
9/25/2022,2529.66561
9/26/2022,2613.617194
9/27/2022,2633.45408
9/28/2022,2713.996697
9/29/2022,2686.420651
9/30/2022,2535.748117
10/1/2022,2528.198796
10/2/2022,2471.063979
10/3/2022,2411.13104
10/4/2022,2443.606694
10/5/2022,2550.568586
10/6/2022,2555.526746
10/7/2022,2570.66753
10/8/2022,2609.556994
10/9/2022,2703.262935
10/10/2022,2664.801666
10/11/2022,2665.758739
10/12/2022,2678.210417
10/13/2022,2661.153805
10/14/2022,2631.172899
10/15/2022,2609.603966
10/16/2022,2642.241969
10/17/2022,2664.505364
10/18/2022,2592.199286
10/19/2022,2523.976516
10/20/2022,2530.002971
10/21/2022,2569.239179
10/22/2022,2558.015095
10/23/2022,2613.526618
10/24/2022,2572.236791
10/25/2022,2652.340431
10/26/2022,2696.027781
10/27/2022,2566.290398
10/28/2022,2644.395883
10/29/2022,2655.730855
